Name,Album,Artist,Popular_date,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
Viva La Vida,Viva La Vida or Death and All His Friends,Coldplay,2008,2008-05-26,242373,80,0.486,0.0954,0.486,0.617,3.23E-06,0.109,-7.115,0.0287,138.015,4
I Kissed A Girl,One Of The Boys,Katy Perry,2008,2008-06-17,179640,68,0.699,0.00223,0.699,0.76,0.0,0.132,-3.173,0.0677,129.996,4
Whatever You Like,Paper Trail,T.I.,2008,2008-09-08,249533,0,0.68,0.0161,0.68,0.687,0.0,0.261,-6.162,0.0709,150.053,4
Disturbia,Good Girl Gone Bad: Reloaded,Rihanna,2008,2008-06-02,238626,75,0.707,0.0863,0.707,0.813,0.0,0.168,-4.515,0.0571,124.921,4
Don't Stop The Music,Good Girl Gone Bad: Reloaded,Rihanna,2008,2008-06-02,267080,77,0.835,0.0336,0.835,0.669,6.92E-05,0.0535,-5.582,0.0643,122.668,4
Pocketful of Sunshine,Pocketful Of Sunshine,Natasha Bedingfield,2008,2008-01-22,202906,63,0.721,0.191,0.721,0.88,0.0,0.0769,-3.896,0.0454,110.021,4
Kiss Kiss (feat. T-Pain),Exclusive,Chris Brown,2008,2007-11-01,250666,0,0.738,0.0463,0.738,0.673,0.0,0.0604,-3.377,0.205,140.068,4
Closer,Year Of The Gentleman (Bonus Track Edition),Ne-Yo,2008,2008-01-01,234360,59,0.711,0.028,0.711,0.753,2.96E-05,0.152,-6.461,0.0766,126.051,4
Boom Boom Pow,THE E.N.D. (THE ENERGY NEVER DIES),Black Eyed Peas,2009,2009-01-01,251440,63,0.867,0.13,0.867,0.857,0.00171,0.13,-5.892,0.0663,130.048,4
Poker Face,The Fame,Lady Gaga,2009,2008-01-01,237200,3,0.851,0.12,0.851,0.806,1.33E-06,0.121,-4.618,0.0786,119.001,4
Just Dance,The Fame,Lady Gaga,2009,2008-01-01,241933,2,0.822,0.0261,0.822,0.737,4.19E-05,0.18,-4.542,0.0314,118.994,4
I Gotta Feeling,THE E.N.D. (THE ENERGY NEVER DIES),Black Eyed Peas,2009,2009-01-01,289133,72,0.743,0.0873,0.743,0.766,0.0,0.509,-6.375,0.0265,127.96,4
Love Story,Fearless,Taylor Swift,2009,2008-11-11,235266,71,0.618,0.17,0.618,0.741,0.0,0.0822,-3.95,0.031,118.984,4
Right Round,R.O.O.T.S. (Route of Overcoming the Struggle),Flo Rida,2009,2009-03-30,204640,73,0.72,0.009,0.72,0.672,0.0,0.232,-6.852,0.0551,124.986,4
I'm Yours,We Sing. We Dance. We Steal Things.,Jason Mraz,2009,2008-05-12,242186,83,0.686,0.595,0.686,0.457,0.0,0.105,-8.322,0.0468,150.953,4
Single Ladies (Put a Ring on It),I AM...SASHA FIERCE,Beyoncé,2009,2008-11-17,193213,69,0.426,0.0383,0.426,0.584,0.0,0.188,-5.293,0.296,193.437,4
Heartless,808s & Heartbreak,Kanye West,2009,2008-11-24,211000,0,0.787,0.0457,0.787,0.635,0.0,0.266,-6.277,0.117,87.99,4
Gives You Hell,When The World Comes Down,The All-American Rejects,2009,2008-01-01,213106,72,0.718,0.0159,0.718,0.691,0.0,0.0627,-6.44,0.0387,100.008,4
You Belong With Me,Fearless,Taylor Swift,2009,2008-11-11,231133,70,0.687,0.162,0.687,0.783,1.35E-05,0.114,-4.44,0.0386,129.964,4
Dead And Gone - feat. Justin Timberlake,Paper Trail,T.I.,2009,2008-09-08,299746,0,0.713,0.0402,0.713,0.746,0.0,0.601,-4.99,0.259,135.021,4
You Found Me,The Fray,The Fray,2009,2009-02-02,241853,75,0.338,0.0187,0.338,0.803,0.0,0.136,-5.412,0.0413,151.994,4
Use Somebody,Only By The Night,Kings of Leon,2009,2008-09-23,230760,76,0.276,0.00552,0.276,0.715,0.000417,0.201,-5.356,0.0432,137.028,4
Knock You Down,In A Perfect World...,Keri Hilson,2009,2009-01-01,326186,65,0.588,0.00952,0.588,0.877,0.0,0.171,-4.78,0.16,155.165,4
Blame It,Intuition,Jamie Foxx,2009,2008-12-11,289746,65,0.673,0.0782,0.673,0.614,0.0,0.139,-5.426,0.103,176.052,4
I Know You Want Me (Calle Ocho),Pitbull Starring In Rebelution,Pitbull,2009,2009-08-31,237120,68,0.82,0.0133,0.82,0.731,1.94E-05,0.131,-6.02,0.159,127.076,4
Live Your Life - feat. Rihanna,Paper Trail,T.I.,2009,2008-09-08,338853,1,0.375,0.071,0.375,0.862,0.0,0.211,-3.363,0.255,159.841,4
Kiss Me Thru The Phone,iSouljaBoyTellem,Soulja Boy,2009,2008-01-01,193386,76,0.758,0.0185,0.758,0.712,0.0,0.0677,-3.781,0.112,149.998,4
Down,All Or Nothing,Jay Sean,2009,2009-01-01,212106,79,0.657,0.0108,0.657,0.695,0.0,0.0822,-4.493,0.0321,65.997,4
