,Name,Album,Artist,Popular_year,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
0,TiK ToK,Animal (Expanded Edition),Kesha,2010,2010-01-01,199693,80,0.755,0.0991,0.755,0.837,0.0,0.289,-2.718,0.142,120.028,4
1,Need You Now,Need You Now,Lady A,2010,2010-01-01,236440,72,0.581,0.0298,0.581,0.717,0.000186,0.243,-4.433,0.0318,107.884,4
2,"Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)",Train,2010,2010-12-01,216773,83,0.673,0.185,0.673,0.886,0.0,0.0826,-4.44,0.0431,97.012,4
3,California Gurls,Katy Perry - Teenage Dream: The Complete Confection,Katy Perry,2010,2012-03-12,234653,73,0.791,0.00446,0.791,0.754,0.0,0.163,-3.729,0.0569,125.014,4
4,Airplanes (feat. Hayley Williams),B.o.B Presents: The Adventures of Bobby Ray,B.o.B,2010,2010-04-27,180480,75,0.66,0.11,0.66,0.867,0.0,0.0368,-4.285,0.116,93.033,4
5,Love The Way You Lie,Recovery,Eminem,2010,2010-06-18,263373,82,0.749,0.241,0.749,0.925,0.0,0.52,-5.034,0.227,86.989,4
6,Bad Romance,The Fame Monster,Lady Gaga,2010,2009,294573,1,0.697,0.00305,0.697,0.921,3.65E-05,0.0831,-3.75,0.0391,118.99,4
7,Dynamite,Rokstarr,Taio Cruz,2010,2010-01-01,203866,71,0.754,0.00332,0.754,0.804,0.0,0.0329,-3.177,0.0853,119.968,4
8,Break Your Heart,Rokstarr,Taio Cruz,2010,2010-01-01,186266,65,0.666,0.00155,0.666,0.899,0.0,0.0677,-4.676,0.028,122.05,4
9,Nothin' on You (feat. Bruno Mars),B.o.B Presents: The Adventures of Bobby Ray,B.o.B,2010,2010-04-27,268320,73,0.688,0.386,0.688,0.853,0.0,0.0862,-5.814,0.0493,103.993,4
10,I Like It,Jersey Shore,Various Artists,2010,2010-01-01,216133,0,0.665,0.011,0.665,0.885,0.0,0.11,-3.862,0.102,129.053,4
11,I Like It,Euphoria (Standard US/Latin version),Enrique Iglesias,2010,2010-01-01,231786,63,0.646,0.0209,0.646,0.94,0.0,0.0691,-2.856,0.0838,129.011,4
12,BedRock,We Are Young Money,Young Money,2010,2009-01-01,288133,72,0.733,0.102,0.733,0.664,0.0,0.191,-6.163,0.295,148.005,4
13,In My Head,Jason Derulo (Deluxe Audio),Jason Derulo,2010,2010-03-01,198960,56,0.762,0.0269,0.762,0.739,0.0,0.498,-4.178,0.0328,110.002,4
14,Rude Boy,Rated R,Rihanna,2010,2009-11-20,222920,73,0.563,0.113,0.563,0.75,0.0,0.0788,-4.496,0.127,173.906,4
15,Telephone,The Fame Monster,Lady Gaga,2010,2009-01-01,220626,2,0.827,0.00748,0.827,0.821,0.0015,0.115,-5.864,0.0419,122.017,4
16,Teenage Dream,Teenage Dream,Katy Perry,2010,2010-01-01,227741,65,0.719,0.0162,0.719,0.798,2.34E-06,0.134,-4.582,0.0361,120.011,4
17,Just the Way You Are,Doo-Wops & Hooligans,Bruno Mars,2010,2010-10-05,220733,81,0.637,0.0151,0.637,0.843,0.0,0.0876,-5.413,0.0432,109.012,4
18,Cooler Than Me - Single Mix,31 Minutes to Takeoff,Mike Posner,2010,2010-08-09,213293,72,0.768,0.179,0.768,0.82,0.0,0.704,-4.63,0.0475,129.969,4
19,Imma Be,THE E.N.D. (THE ENERGY NEVER DIES),Black Eyed Peas,2010,2009-01-01,257560,64,0.597,0.179,0.597,0.517,0.0,0.307,-6.963,0.365,92.035,4
