,Name,Album,Artist,Popular_date,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
0,Bridge Over Troubled Water,Bridge Over Troubled Water,Simon & Garfunkel,1970,1970-01-26,293120,72,0.149,0.822,0.149,0.206,0.000649,0.115,-13.888,0.0323,79.764,4
1,(They Long To Be) Close To You,Close To You,Carpenters,1970,1970-01-01,276000,0,0.543,0.669,0.543,0.241,6.27E-05,0.121,-14.59,0.0344,89.078,4
2,"American Woman - 7"" Single Version",Platinum & Gold Collection,The Guess Who,1970,2003-05-06,231640,51,0.538,0.0424,0.538,0.841,0.00178,0.312,-7.547,0.0375,93.077,4
3,War - Single Version,Superstar Series Vol. 3,Edwin Starr,1970,1972-01-01,200960,0,0.591,0.0677,0.591,0.781,0.0,0.294,-9.68,0.192,109.481,4
4,Ain't No Mountain High Enough,Diamond Diana: The Legacy Collection,Diana Ross,1970,2017-11-17,215200,59,0.393,0.191,0.393,0.792,0.00364,0.376,-5.076,0.0448,98.757,4
5,I'll Be There,Third Album,The Jackson 5,1970,1970-09-08,237760,67,0.51,0.593,0.51,0.515,1.24E-06,0.654,-7.247,0.0253,93.212,4
6,Get Ready - Single Version,Greatest Hits And Rare Classics,Rare Earth,1970,1991-01-01,166466,30,0.617,0.0244,0.617,0.83,0.0121,0.259,-10.197,0.029,136.786,4
7,Let It Be - Remastered 2009,Let It Be (Remastered),The Beatles,1970,1970-05-08,243026,78,0.443,0.631,0.443,0.403,0.0,0.111,-8.339,0.0322,143.462,4
8,Band Of Gold - Re-Record,Band Of Gold (Remix),Freda Payne,1970,2008-01-01,182533,42,0.631,0.451,0.631,0.746,0.0,0.424,-5.439,0.0277,108.875,4
9,Mama Told Me (Not To Come),The Best Of 3 Dog Night,Three Dog Night,1970,1982-01-01,196933,42,0.678,0.135,0.678,0.621,0.000468,0.207,-13.454,0.0537,120.7,4
10,Everything Is Beautiful - 1970 #1 Billboard chart hit,Everything Is Beautiful,Ray Stevens,1970,1970,212773,38,0.37,0.514,0.37,0.378,0.0,0.222,-15.178,0.0369,112.159,4
11,Make It with You,The Best of Bread,Bread,1970,1973-06-01,192200,61,0.629,0.66,0.629,0.356,0.000617,0.173,-11.135,0.0246,83.886,4
12,Hitchin' a Ride,Rewind the 70s - Volume 2,Various Artists,1970,2013-03-31,176160,27,0.73,0.173,0.73,0.643,0.0,0.177,-11.186,0.0286,130.748,4
13,ABC,ABC,The Jackson 5,1970,1970-05-08,177733,64,0.715,0.486,0.715,0.678,0.000192,0.15,-11.842,0.0475,94.769,4
14,The Love You Save,ABC,The Jackson 5,1970,1970-05-08,181426,48,0.755,0.411,0.755,0.713,0.0,0.118,-10.953,0.0513,113.656,4
15,Cracklin' Rosie - Single Version,Tap Root Manuscript,Neil Diamond,1970,1970,179933,62,0.562,0.319,0.562,0.503,0.0,0.163,-14.836,0.0335,127.827,4
16,Candida,Candida,Tony Orlando & Dawn,1970,1970,182973,45,0.783,0.235,0.783,0.596,0.0,0.0427,-10.056,0.0676,127.576,4
17,Thank You (Falettinme Be Mice Elf Agin) - Single Version,Greatest Hits,Sly & The Family Stone,1970,1970-11-21,291320,53,0.9,0.296,0.9,0.709,0.00047,0.0863,-12.683,0.0636,105.822,4
18,Spill The Wine,The Best Of Eric Burdon & War,Eric Burdon,1970,1976-01-01,244306,49,0.845,0.47,0.845,0.447,0.0,0.0782,-11.897,0.049,119.457,4
